customer_id,gender,age,postalcode,region,connect_date,end_date,dropped_calls,pay method,tariff,handset,churn
"K100010","Male",46.000000,6253.000000,3.000000,2006-07-18,2010-05-10,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100020","Male",27.000000,4121.000000,2.000000,2004-09-18,2007-02-07,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100030","Male",39.000000,3870.000000,2.000000,2003-08-23,2006-08-13,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100040","Male",28.000000,8322.000000,4.000000,2005-08-18,2006-06-04,2.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100050","Male",47.000000,2614.000000,2.000000,2005-08-11,2006-08-13,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100060","Male",29.000000,1891.000000,1.000000,2004-07-06,2005-03-13,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100070","Male",38.000000,1741.000000,1.000000,2006-10-14,2007-01-01,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100080","Male",27.000000,9770.000000,4.000000,2005-01-20,2009-08-27,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100090","Male",38.000000,8967.000000,4.000000,2003-05-31,2004-05-19,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100100","Male",48.000000,3438.000000,2.000000,2003-07-28,2007-07-05,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100110","Male",34.000000,1071.000000,1.000000,2005-12-11,2007-09-25,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100120","Male",32.000000,2875.000000,2.000000,2004-11-06,2007-10-06,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100130","Male",45.000000,8772.000000,4.000000,2003-12-15,2006-08-16,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100140","Male",29.000000,9016.000000,4.000000,2006-03-24,2008-03-13,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100150","Male",30.000000,5034.000000,3.000000,2005-07-28,2007-06-11,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100160","Male",28.000000,1709.000000,1.000000,2006-07-18,2009-09-04,9.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100170","Male",26.000000,1363.000000,1.000000,2004-06-28,2005-08-04,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100180","Male",37.000000,6455.000000,3.000000,2005-06-26,2006-08-06,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100190","Male",38.000000,4199.000000,2.000000,2004-08-06,2005-04-01,2.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100200","Male",46.000000,7532.000000,4.000000,2003-10-09,2005-08-10,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100210","Male",30.000000,3651.000000,2.000000,2003-12-12,2004-08-24,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100220","Male",28.000000,6350.000000,3.000000,2006-04-21,2008-01-05,9.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100230","Male",33.000000,7723.000000,4.000000,2005-07-20,2009-06-10,2.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100240","Male",39.000000,1614.000000,1.000000,2006-03-28,2009-08-11,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100250","Male",28.000000,9496.000000,4.000000,2003-05-22,2006-07-05,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100260","Male",42.000000,9331.000000,4.000000,2005-01-21,2007-12-12,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100270","Male",44.000000,5470.000000,3.000000,2005-05-01,,2.000000,"Pre Pay","CAT 50","SOP20","Active"
"K100280","Male",46.000000,6920.000000,3.000000,2004-09-16,2005-06-13,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100290","Male",27.000000,2248.000000,1.000000,2006-02-18,2009-11-03,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100300","Male",30.000000,6751.000000,3.000000,2003-06-27,2005-12-20,8.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100310","Male",34.000000,3503.000000,2.000000,2005-04-19,2007-07-21,11.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100320","Male",34.000000,7853.000000,4.000000,2004-04-13,2007-03-06,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100330","Male",26.000000,3951.000000,2.000000,2004-02-19,2007-08-05,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100340","Male",50.000000,9566.000000,4.000000,2003-02-06,2007-07-10,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100350","Male",37.000000,6977.000000,3.000000,2005-04-20,2009-06-25,2.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100360","Male",30.000000,5122.000000,3.000000,2004-01-10,2007-08-23,6.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100370","Male",45.000000,2202.000000,1.000000,2004-06-14,2007-03-16,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100380","Male",39.000000,5637.000000,3.000000,2005-12-23,2008-04-15,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100390","Male",35.000000,8776.000000,4.000000,2006-07-13,2007-03-12,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100400","Male",50.000000,3008.000000,2.000000,2005-06-19,2009-09-19,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100410","Male",45.000000,9139.000000,4.000000,2003-08-18,2007-02-27,7.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100420","Male",31.000000,9800.000000,4.000000,2005-05-20,2006-04-18,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100430","Male",35.000000,3604.000000,2.000000,2005-06-12,2006-03-17,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100440","Male",27.000000,7662.000000,4.000000,2004-04-17,2007-10-12,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100450","Male",32.000000,6319.000000,3.000000,2005-08-08,2008-08-07,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100460","Male",39.000000,5278.000000,3.000000,2004-08-01,2007-12-19,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100470","Male",29.000000,4078.000000,2.000000,2006-07-20,2009-12-09,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100480","Male",35.000000,2670.000000,2.000000,2005-11-02,2006-01-13,11.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100490","Male",35.000000,6617.000000,3.000000,2003-12-20,2005-09-23,9.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100500","Male",50.000000,3866.000000,2.000000,2003-12-12,,2.000000,"Pre Pay","CAT 50","SOP20","Active"
"K100510","Male",33.000000,5153.000000,3.000000,2005-08-01,2008-06-11,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100520","Male",28.000000,1865.000000,1.000000,2004-08-27,2008-06-10,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100530","Male",37.000000,9174.000000,4.000000,2006-01-18,2007-03-26,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100540","Male",39.000000,3440.000000,2.000000,2003-09-03,2007-06-18,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100550","Male",27.000000,4530.000000,2.000000,2004-07-14,2008-05-12,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100560","Male",40.000000,6644.000000,3.000000,2003-04-12,2005-05-25,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100570","Male",41.000000,3745.000000,2.000000,2005-05-05,2008-03-27,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100580","Male",27.000000,2863.000000,2.000000,2005-07-27,2006-06-12,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100590","Male",35.000000,7384.000000,3.000000,2003-02-20,2005-04-20,8.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100600","Male",35.000000,2557.000000,2.000000,2005-07-31,2009-04-25,0.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100610","Male",34.000000,5441.000000,3.000000,2003-07-16,2004-03-20,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100620","Male",30.000000,7893.000000,4.000000,2003-03-04,2007-07-24,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100630","Male",45.000000,1038.000000,1.000000,2003-10-01,2006-03-02,4.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100640","Male",37.000000,6570.000000,3.000000,2004-03-20,2007-10-18,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100650","Male",48.000000,3941.000000,2.000000,2003-06-09,2007-02-13,3.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100660","Male",42.000000,3810.000000,2.000000,2006-10-28,2010-09-25,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100670","Male",38.000000,9059.000000,4.000000,2005-01-11,2006-10-28,2.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100680","Male",28.000000,7229.000000,3.000000,2004-10-02,2007-10-12,7.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100690","Male",30.000000,4627.000000,2.000000,2004-10-02,2005-05-14,2.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100700","Male",29.000000,3405.000000,2.000000,2006-04-05,2007-03-03,2.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100710","Male",37.000000,3829.000000,2.000000,2006-10-23,2009-03-17,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100720","Male",40.000000,5594.000000,3.000000,2006-02-01,2007-11-23,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100730","Male",40.000000,4464.000000,2.000000,2003-07-31,2004-08-01,0.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100740","Male",37.000000,1183.000000,1.000000,2006-10-19,,1.000000,"Pre Pay","CAT 50","SOP10","Active"
"K100750","Male",28.000000,7243.000000,3.000000,2003-10-14,2007-01-25,1.000000,"Pre Pay","CAT 50","SOP10","Churned"
"K100760","Male",37.000000,3072.000000,2.000000,2006-05-24,2007-09-19,1.000000,"Pre Pay","CAT 50","SOP20","Churned"
"K100770","Male",33.000000,6186.000000,3.000000,2003-01-23,2006-05-07,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100780","Male",36.000000,3872.000000,2.000000,2005-04-23,2007-05-02,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100790","Male",29.000000,6095.000000,3.000000,2003-11-16,2004-03-08,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100800","Male",39.000000,2991.000000,2.000000,2004-05-24,2008-07-15,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100810","Male",42.000000,7732.000000,4.000000,2004-12-25,2007-04-15,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100820","Male",37.000000,4574.000000,2.000000,2005-07-22,2008-12-25,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100830","Male",33.000000,3814.000000,2.000000,2004-01-16,2005-07-21,8.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100840","Male",33.000000,3019.000000,2.000000,2005-05-26,2009-08-19,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100850","Male",31.000000,7413.000000,3.000000,2006-10-27,2009-05-15,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100860","Male",25.000000,8793.000000,4.000000,2006-03-07,2009-03-17,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100870","Male",38.000000,7231.000000,3.000000,2003-05-09,2006-03-15,7.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100880","Male",33.000000,1521.000000,1.000000,2004-08-23,2006-06-01,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100890","Male",42.000000,4331.000000,2.000000,2005-07-01,2008-11-07,7.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100900","Male",27.000000,7288.000000,3.000000,2005-04-01,2007-10-10,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100910","Male",28.000000,8864.000000,4.000000,2003-12-07,2004-04-04,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100920","Male",33.000000,1351.000000,1.000000,2006-04-24,2007-10-03,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100930","Male",25.000000,8836.000000,4.000000,2003-07-14,2005-02-15,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100940","Male",42.000000,3585.000000,2.000000,2003-01-05,2006-06-05,5.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100950","Male",38.000000,3163.000000,2.000000,2005-01-04,2007-02-03,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100960","Male",25.000000,7053.000000,3.000000,2004-12-23,2005-12-04,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100970","Male",37.000000,9576.000000,4.000000,2006-04-01,2007-11-09,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K100980","Male",30.000000,8270.000000,4.000000,2003-04-04,2004-06-16,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K100990","Male",28.000000,2504.000000,2.000000,2003-02-04,2004-10-26,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101000","Male",41.000000,8277.000000,4.000000,2004-08-19,2006-03-13,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101010","Male",28.000000,9183.000000,4.000000,2003-09-24,,8.000000,"Pre Pay","Play 100","SOP10","Active"
"K101020","Male",35.000000,9538.000000,4.000000,2006-02-06,2007-11-11,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101030","Male",35.000000,1422.000000,1.000000,2006-08-13,2008-12-07,9.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101040","Male",30.000000,7192.000000,3.000000,2005-07-25,2006-02-11,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101050","Male",38.000000,4861.000000,2.000000,2005-01-02,2009-06-16,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101060","Male",50.000000,9972.000000,4.000000,2004-05-02,2006-09-13,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101070","Male",50.000000,9878.000000,4.000000,2003-09-16,2006-04-17,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101080","Male",36.000000,4385.000000,2.000000,2006-05-13,2009-04-25,5.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101090","Male",37.000000,5281.000000,3.000000,2004-04-28,2008-11-10,5.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101100","Male",49.000000,9182.000000,4.000000,2005-07-15,2009-02-05,8.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101110","Male",38.000000,7235.000000,3.000000,2003-10-03,2005-09-20,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101120","Male",43.000000,9812.000000,4.000000,2004-03-26,2007-04-21,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101130","Male",28.000000,6580.000000,3.000000,2004-11-06,2007-09-20,4.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101140","Male",28.000000,2241.000000,1.000000,2006-12-22,2009-01-25,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101150","Male",30.000000,5463.000000,3.000000,2006-02-21,2007-09-17,8.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101160","Male",32.000000,2897.000000,2.000000,2006-02-11,2009-09-17,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101170","Male",29.000000,8932.000000,4.000000,2003-01-21,2007-01-03,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101180","Male",37.000000,6283.000000,3.000000,2006-02-10,2007-12-25,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101190","Male",27.000000,3559.000000,2.000000,2004-08-18,2008-10-11,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101200","Male",28.000000,8773.000000,4.000000,2003-11-26,2005-05-14,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101210","Male",37.000000,7265.000000,3.000000,2003-07-04,2007-08-13,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101220","Male",32.000000,5372.000000,3.000000,2003-12-23,2006-09-16,9.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101230","Male",44.000000,7495.000000,3.000000,2006-11-13,2008-12-17,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101240","Male",26.000000,1072.000000,1.000000,2004-10-26,2007-07-09,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101250","Male",44.000000,3168.000000,2.000000,2004-02-03,2005-11-02,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101260","Male",32.000000,9840.000000,4.000000,2004-11-27,2006-02-14,9.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101270","Male",49.000000,9967.000000,4.000000,2004-07-08,2005-04-27,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101280","Male",30.000000,1794.000000,1.000000,2006-03-31,2010-08-19,6.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101290","Male",27.000000,9129.000000,4.000000,2004-04-26,2005-12-12,6.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101300","Male",38.000000,9101.000000,4.000000,2004-11-27,2007-07-03,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101310","Male",41.000000,7091.000000,3.000000,2005-08-24,2006-10-18,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101320","Male",34.000000,4646.000000,2.000000,2005-06-28,2008-12-04,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101330","Male",44.000000,1475.000000,1.000000,2006-02-01,2010-10-17,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101340","Male",41.000000,5169.000000,3.000000,2005-12-17,2008-04-10,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101350","Male",33.000000,5885.000000,3.000000,2004-03-13,2006-03-12,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101360","Male",36.000000,2009.000000,1.000000,2005-01-13,2007-11-20,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101370","Male",40.000000,6656.000000,3.000000,2004-07-17,2005-08-19,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101380","Male",47.000000,5906.000000,3.000000,2004-09-15,2006-08-19,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101390","Male",43.000000,6268.000000,3.000000,2005-09-06,2009-05-16,5.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101400","Male",26.000000,7356.000000,3.000000,2006-12-27,2007-10-21,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101410","Male",26.000000,5586.000000,3.000000,2004-04-05,2006-09-27,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101420","Male",33.000000,6086.000000,3.000000,2003-06-04,2006-05-05,3.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101430","Male",47.000000,3852.000000,2.000000,2005-05-14,2006-06-12,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101440","Male",37.000000,3975.000000,2.000000,2006-09-10,2009-12-15,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101450","Male",38.000000,8511.000000,4.000000,2006-02-03,2008-11-11,9.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101460","Male",29.000000,6259.000000,3.000000,2004-09-01,2006-01-03,9.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101470","Male",30.000000,1924.000000,1.000000,2004-03-20,2006-07-05,3.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101480","Male",26.000000,5156.000000,3.000000,2006-04-02,2010-06-18,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101490","Male",27.000000,2980.000000,2.000000,2003-10-14,2005-09-12,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101500","Male",26.000000,5112.000000,3.000000,2006-05-11,2007-02-28,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101510","Male",34.000000,7744.000000,4.000000,2004-10-01,2005-02-28,10.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101520","Male",45.000000,2618.000000,2.000000,2003-08-17,2007-02-16,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101530","Male",37.000000,4850.000000,2.000000,2003-05-01,2005-12-13,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101540","Male",29.000000,9679.000000,4.000000,2005-01-01,2007-02-18,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101550","Male",30.000000,1285.000000,1.000000,2004-12-20,2006-02-12,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101560","Male",44.000000,8550.000000,4.000000,2004-03-12,2005-04-28,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101570","Male",26.000000,2002.000000,1.000000,2004-04-02,2007-10-02,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101580","Male",25.000000,1746.000000,1.000000,2003-07-05,2006-02-01,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101590","Male",39.000000,4261.000000,2.000000,2005-10-01,2007-07-01,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101600","Male",25.000000,3942.000000,2.000000,2005-12-18,2006-02-07,3.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101610","Male",50.000000,6670.000000,3.000000,2005-02-02,2009-11-29,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101620","Male",28.000000,9395.000000,4.000000,2004-07-31,2006-02-15,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101630","Male",33.000000,6329.000000,3.000000,2006-09-03,2009-11-22,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101640","Male",31.000000,2235.000000,1.000000,2004-09-20,2006-12-20,1.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101650","Male",25.000000,7297.000000,3.000000,2004-07-25,2005-08-08,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101660","Male",31.000000,7365.000000,3.000000,2004-01-12,2005-02-04,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101670","Male",25.000000,6316.000000,3.000000,2005-06-11,2006-11-12,0.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101680","Male",25.000000,7014.000000,3.000000,2005-12-15,2008-02-05,0.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101690","Male",33.000000,4714.000000,2.000000,2005-08-01,2008-09-11,1.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101700","Male",28.000000,6673.000000,3.000000,2006-02-23,2008-07-19,9.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101710","Male",30.000000,5379.000000,3.000000,2006-08-27,2009-09-25,11.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101720","Male",36.000000,6605.000000,3.000000,2003-04-26,2004-06-08,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101730","Male",45.000000,8973.000000,4.000000,2005-02-09,2006-09-24,2.000000,"Pre Pay","Play 100","SOP10","Churned"
"K101740","Male",35.000000,7932.000000,4.000000,2003-06-01,2006-05-12,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101750","Male",44.000000,9705.000000,4.000000,2004-11-19,2006-06-27,2.000000,"Pre Pay","Play 100","SOP20","Churned"
"K101760","Male",28.000000,5188.000000,3.000000,2005-03-25,2008-12-25,7.000000,"Pre Pay","Play 100","SOP20","Churned"
