customer_id,data_known,gender,age,tariff,dropped_calls,handset,peak_mins,peak_rate,bill_peak,offpeak_mins,offpeak_rate,bill_offpeak,gadget_A,gadget_B,gadget_C,gadget_D,gadget_A_revenues,gadget_B_revenues,gadget_C_revenues,gadget_D_revenues
"N247880","yes","Female",31.000000,"CAT 50",0.000000,"BS110",393.600000,15.000000,59.040000,19.200000,5.000000,0.960000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N376450","yes","Female",42.000000,"CAT 50",6.000000,"CAS30",136.199999,15.000000,20.430000,36.900000,5.000000,1.845000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N109880","yes","Female",62.000000,"CAT 100",9.000000,"ASAD170",657.600001,15.000000,98.640000,122.399999,5.000000,6.120000,"T","T","T","F",11.000000,20.000000,28.000000,0.000000
"N109885","no","",,"",,"",,,,,,,"","","","",,,,
"N188070","yes","Male",24.000000,"CAT 200",0.000000,"S50",1335.600000,10.000000,133.560000,396.900001,5.000000,19.845000,"T","T","F","T",10.000000,24.000000,0.000000,41.000000
"N201040","yes","Female",20.000000,"CAT 200",2.000000,"ASAD170",844.800000,10.000000,84.480000,300.600000,5.000000,15.030000,"T","T","T","T",8.000000,23.000000,33.000000,40.000000
"N164070","yes","Female",31.000000,"Play 300",10.000000,"ASAD170",336.599999,25.000000,84.150000,432.900000,2.000000,8.658000,"F","T","T","T",0.000000,23.000000,26.000000,43.000000
"N201620","yes","Male",15.000000,"CAT 200",1.000000,"S50",1243.800001,10.000000,124.380000,729.900000,5.000000,36.495000,"T","T","F","T",9.000000,15.000000,0.000000,37.000000
"N408820","yes","Female",18.000000,"CAT 200",12.000000,"S50",2346.000000,10.000000,234.600000,101.400000,5.000000,5.070000,"T","T","F","T",14.000000,17.000000,0.000000,38.000000
"N178490","yes","Male",25.000000,"CAT 200",9.000000,"S50",976.800000,10.000000,97.680000,48.299999,5.000000,2.415000,"T","T","T","T",10.000000,17.000000,26.000000,40.000000
"N348730","yes","Male",31.000000,"CAT 100",1.000000,"CAS30",481.200000,15.000000,72.180000,45.300000,5.000000,2.265000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N173280","yes","Female",17.000000,"CAT 200",2.000000,"S50",927.600001,10.000000,92.760000,198.299999,5.000000,9.915000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N262370","yes","Male",49.000000,"Play 100",0.000000,"BS210",64.199999,25.000000,16.050000,464.400000,5.000000,23.220000,"F","F","T","F",0.000000,0.000000,26.000000,0.000000
"N207500","yes","Female",14.000000,"Play 300",2.000000,"S50",486.600001,25.000000,121.650000,470.700000,2.000000,9.414000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N204780","yes","Male",23.000000,"Play 100",0.000000,"ASAD90",122.400000,25.000000,30.600000,540.600000,5.000000,27.030000,"T","F","T","F",14.000000,0.000000,30.000000,0.000000
"N286390","yes","Male",24.000000,"CAT 100",0.000000,"BS110",537.000000,15.000000,80.550000,129.000000,5.000000,6.450000,"T","T","T","T",11.000000,22.000000,29.000000,37.000000
"N392950","yes","Male",57.000000,"Play 300",9.000000,"CAS60",204.600001,25.000000,51.150000,548.100000,2.000000,10.962000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N273340","yes","Male",56.000000,"Play 300",1.000000,"S80",304.800000,25.000000,76.200000,361.800000,2.000000,7.236000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N310150","yes","Female",13.000000,"CAT 200",0.000000,"WC95",718.799999,10.000000,71.880000,338.400001,5.000000,16.920000,"T","T","T","F",6.000000,20.000000,28.000000,0.000000
"N313300","yes","Male",41.000000,"CAT 200",2.000000,"S50",637.199999,10.000000,63.720000,348.899999,5.000000,17.445000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N271610","yes","Male",51.000000,"Play 100",1.000000,"S80",36.600000,25.000000,9.150000,403.499999,5.000000,20.175000,"T","T","F","F",9.000000,23.000000,0.000000,0.000000
"N214430","yes","Female",42.000000,"Play 100",2.000000,"S50",54.000000,25.000000,13.500000,194.100000,5.000000,9.705000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N354570","yes","Male",35.000000,"CAT 200",1.000000,"BS110",1482.000000,10.000000,148.200000,502.200000,5.000000,25.110000,"T","T","T","F",9.000000,20.000000,32.000000,0.000000
"N288540","yes","Male",27.000000,"CAT 100",1.000000,"BS110",370.199999,15.000000,55.530000,298.500000,5.000000,14.925000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N299310","yes","Female",22.000000,"CAT 100",8.000000,"CAS30",405.000000,15.000000,60.750000,331.200000,5.000000,16.560000,"F","T","T","T",0.000000,21.000000,31.000000,37.000000
"N289930","yes","Male",31.000000,"CAT 100",0.000000,"BS110",384.000000,15.000000,57.600000,175.499999,5.000000,8.775000,"F","F","F","T",0.000000,0.000000,0.000000,36.000000
"N328980","yes","Female",31.000000,"CAT 50",0.000000,"WC95",185.400000,15.000000,27.810000,26.700000,5.000000,1.335000,"F","F","T","T",0.000000,0.000000,26.000000,40.000000
"N292520","yes","Male",37.000000,"CAT 100",5.000000,"BS110",529.199999,15.000000,79.380000,265.199999,5.000000,13.260000,"T","F","F","F",10.000000,0.000000,0.000000,0.000000
"N157480","yes","Male",46.000000,"Play 300",2.000000,"ASAD170",336.599999,25.000000,84.150000,301.199999,2.000000,6.024000,"T","F","F","F",10.000000,0.000000,0.000000,0.000000
"N239620","yes","Male",52.000000,"Play 100",2.000000,"BS110",234.600000,25.000000,58.650000,231.000000,5.000000,11.550000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N277680","yes","Female",30.000000,"Play 300",5.000000,"S80",119.400000,25.000000,29.850000,627.000000,2.000000,12.540000,"T","T","F","F",14.000000,19.000000,0.000000,0.000000
"N294430","yes","Female",26.000000,"CAT 100",0.000000,"CAS30",356.400000,15.000000,53.460000,342.000000,5.000000,17.100000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N407710","yes","Male",52.000000,"CAT 200",13.000000,"BS110",1433.399999,10.000000,143.340000,29.100000,5.000000,1.455000,"F","T","T","F",0.000000,20.000000,27.000000,0.000000
"N111860","yes","Female",37.000000,"CAT 200",0.000000,"S80",852.600000,10.000000,85.260000,224.100001,5.000000,11.205000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N394400","yes","Male",18.000000,"Play 300",0.000000,"S80",321.000000,25.000000,80.250000,450.000000,2.000000,9.000000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N320600","yes","Female",14.000000,"CAT 200",6.000000,"WC95",777.600000,10.000000,77.760000,475.800000,5.000000,23.790000,"F","T","T","F",0.000000,23.000000,28.000000,0.000000
"N104380","yes","Female",32.000000,"CAT 100",8.000000,"S80",622.800000,15.000000,93.420000,167.100000,5.000000,8.355000,"F","T","T","T",0.000000,23.000000,30.000000,38.000000
"N376800","yes","Male",15.000000,"Play 100",1.000000,"ASAD90",213.600001,25.000000,53.400000,253.199999,5.000000,12.660000,"F","T","F","F",0.000000,19.000000,0.000000,0.000000
"N347070","yes","Female",52.000000,"CAT 100",0.000000,"BS110",532.200000,15.000000,79.830000,102.000000,5.000000,5.100000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N146120","yes","Female",45.000000,"CAT 200",0.000000,"ASAD90",993.000000,10.000000,99.300000,452.700001,5.000000,22.635000,"F","T","T","T",0.000000,20.000000,31.000000,39.000000
"N369160","yes","Female",24.000000,"CAT 200",6.000000,"CAS30",818.399999,10.000000,81.840000,689.700000,5.000000,34.485000,"T","F","F","T",9.000000,0.000000,0.000000,38.000000
"N213340","yes","Female",22.000000,"Play 100",0.000000,"CAS30",43.084947,25.000000,10.771237,56.728514,5.000000,2.836426,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N289180","yes","Female",19.000000,"CAT 100",2.000000,"WC95",352.800001,15.000000,52.920000,194.100000,5.000000,9.705000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
"N291760","yes","Female",23.000000,"CAT 100",0.000000,"CAS30",392.400000,15.000000,58.860000,281.700000,5.000000,14.085000,"F","F","F","F",0.000000,0.000000,0.000000,0.000000
